Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:00cGNx0otxcMeD4GZHAJtq,"American Dreaming","Trail Of Flowers","Sierra Ferrell",2024-03-22,257297,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.557,0.36,0,-9.03,0,0.04,0.597,0,0.333,0.307,82.016,4
spotify:track:5l3a1YhcTySfTxvS8L3lNp,"Dollar Bill Bar","Trail Of Flowers","Sierra Ferrell",2024-03-22,209176,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.516,0.589,11,-6.422,1,0.0655,0.465,0,0.0949,0.458,128.215,4
spotify:track:1vKKdlKO1Ta2VGNqFRdjh5,"Fox Hunt","Trail Of Flowers","Sierra Ferrell",2024-03-22,197743,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.491,0.585,7,-5.843,1,0.0341,0.207,0.0000383,0.0888,0.377,126.825,4
spotify:track:6kdK2WS3p3a35b0Bn2MEtt,"Chittlin’ Cookin’ Time In Cheatham County","Trail Of Flowers","Sierra Ferrell",2024-03-22,181703,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.583,0.387,9,-7.382,0,0.0456,0.652,0.0000417,0.23,0.411,110.503,4
spotify:track:6CJzTSDVyM2JBQEgFwqwFb,"Wish You Well","Trail Of Flowers","Sierra Ferrell",2024-03-22,218338,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.44,0.168,0,-12.389,1,0.0321,0.699,0.0000261,0.108,0.176,65.613,4
spotify:track:115YPahM5rL48iEUqVRAuG,"Money Train","Trail Of Flowers","Sierra Ferrell",2024-03-22,160195,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.32,0.655,2,-6.971,1,0.0444,0.407,0.00000143,0.351,0.544,190.533,4
spotify:track:6xgCx5NI5sE0yQ7Of1rkFo,"I Could Drive You Crazy","Trail Of Flowers","Sierra Ferrell",2024-03-22,216128,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.506,0.406,7,-6.206,1,0.0298,0.528,0.0000359,0.102,0.381,133.054,4
spotify:track:1h9MzleT1OUoWhIybIfulF,"Why Haven’t You Loved Me Yet","Trail Of Flowers","Sierra Ferrell",2024-03-22,135206,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.555,0.685,7,-5.84,1,0.0332,0.365,0,0.2,0.833,144.254,4
spotify:track:2WzbImUwpFZYnl6Zn44API,"Rosemary","Trail Of Flowers","Sierra Ferrell",2024-03-22,216181,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.589,0.176,4,-7.74,0,0.0506,0.862,0,0.122,0.448,114.712,5
spotify:track:20RQB4LzhvToJLZ4HTDMRB,"Lighthouse","Trail Of Flowers","Sierra Ferrell",2024-03-22,218717,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.69,0.443,9,-6.4,1,0.0297,0.549,0,0.276,0.726,110.733,4
spotify:track:6MxY1jCvr46ybfXoQGN8R6,"I’ll Come Off The Mountain","Trail Of Flowers","Sierra Ferrell",2024-03-22,104657,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.714,0.435,6,-6.804,1,0.0566,0.483,0,0.198,0.68,123.154,4
spotify:track:6X5OlnQWCGB19kq9YtT13M,"No Letter","Trail Of Flowers","Sierra Ferrell",2024-03-22,140621,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:22Z,"americana,bluegrass,alt country","Rounder",0.751,0.36,0,-8.361,1,0.0385,0.905,0.00000113,0.0948,0.601,122.551,4
