Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0kz35q6rsNDB6d6XHNfLO4,"His Cheeseburger","And Now It’s Time For Silly Songs With Larry","VeggieTales",2005-10-04,187773,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.739,0.449,11,-9.669,1,0.0563,0.749,0,0.0811,0.289,108.073,4
spotify:track:7hfoJup1SxCER2qY3hegZ5,"Belly Button","25 Favorite Silly Songs!","VeggieTales",2011-07-19,199546,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.676,0.64,0,-7.969,1,0.0847,0.393,0,0.0608,0.413,105.972,4
spotify:track:3FQyijPxxQZOD7Q5n9WJiD,"God Is Bigger","VeggieTunes","VeggieTales",1995-11-22,206266,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.59,0.34,0,-8.144,1,0.261,0.727,0,0.233,0.556,132.331,4
spotify:track:63oA3BYRxTGZw2z5dM0lSq,"The Hairbrush Song","VeggieTunes","VeggieTales",1995-11-22,184400,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.527,0.709,1,-9.035,0,0.435,0.814,0.00000109,0.907,0.516,73.073,4
spotify:track:1srbr3Qqn2u7dn8W64F2uK,"Jonah Was A Prophet - From ""Jonah: A VeggieTales Movie"" Soundtrack","Jonah - A VeggieTales Movie (Original Motion Picure Soundtrack)","VeggieTales",2002-01-01,166400,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.816,0.541,5,-6.808,0,0.173,0.491,0,0.169,0.482,109.206,4
spotify:track:09tRCU5iG2qIEmAdxgl27f,"The Water Buffalo Song","VeggieTunes","VeggieTales",1995-11-22,75666,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.828,0.472,10,-9.553,1,0.487,0.625,0,0.0832,0.78,103.821,4
spotify:track:6u5TlYfQeYthV5Fk8AILLl,"Oh, No! What We Gonna Do?","VeggieTunes","VeggieTales",1995-11-22,119106,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.769,0.55,4,-8.186,1,0.416,0.375,0,0.11,0.632,90.872,4
spotify:track:1iVgOmX5BC0IEiCpyc8Gi7,"The Pirates Who Don't Do Anything","Very Veggie Party Playlist","VeggieTales",2018-03-02,198573,15,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.567,0.571,1,-8.87,1,0.25,0.724,0,0.148,0.829,139.748,4
spotify:track:5lduyNwlU33czkxQVAbXS1,"Love My Lips","Very Veggie Party Playlist","VeggieTales",2018-03-02,203933,14,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.577,0.551,10,-7.2,1,0.504,0.356,0,0.297,0.811,72.892,4
spotify:track:2yf5Xwwoa0dpFXAGxPUica,"Pizza Angel","Very Veggie Party Playlist","VeggieTales",2018-03-02,216040,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.691,0.412,11,-8.364,1,0.0437,0.514,0.00000135,0.0971,0.664,125.48,4
spotify:track:1jXSQBYdoNjAIu5fh7gXWO,"Endangered Love","Very Veggie Party Playlist","VeggieTales",2018-03-02,195560,11,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.778,0.29,8,-7.046,1,0.224,0.808,0,0.115,0.826,130.365,4
spotify:track:5DUVYQrpskQcDNOv7ArQwA,"Stand","Very Veggie Party Playlist","VeggieTales",2018-03-02,103760,10,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.748,0.489,6,-7.535,1,0.06,0.576,0,0.233,0.912,148.05,4
spotify:track:1L34kiSTEFKT3I3PVAkPo1,"The Yodeling Veterinarian Of The Alps","Very Veggie Party Playlist","VeggieTales",2018-03-02,237866,13,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.646,0.371,8,-10.903,1,0.182,0.759,0,0.0758,0.673,134.857,4
spotify:track:0bFzseYDzePWChexLomr4o,"Keep Walking","Very Veggie Party Playlist","VeggieTales",2018-03-02,109813,11,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.669,0.395,4,-9.622,1,0.694,0.796,0,0.942,0.917,102.871,4
spotify:track:2lNvKowBlIPvty5whF3012,"The New And Improved Bunny Song","Very Veggie Party Playlist","VeggieTales",2018-03-02,126413,10,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.707,0.558,5,-9.891,1,0.146,0.515,0,0.266,0.603,93.896,4
spotify:track:23Jt9QEk9Nsq6TZHUp5ypu,"The Song Of The Cebu","Very Veggie Party Playlist","VeggieTales",2018-03-02,234853,13,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.888,0.746,9,-10.672,1,0.338,0.325,0.00000136,0.024,0.858,101.887,4
spotify:track:0slO3kb3BQs87V7axsitY1,"Do The Moo Shoo","Very Veggie Party Playlist","VeggieTales",2018-03-02,42066,10,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.854,0.565,6,-11.529,1,0.186,0.00879,0.000242,0.165,0.794,106.16,4
spotify:track:0RHnerK14FStgCG5SqQVYa,"Big Things, Too","Very Veggie Party Playlist","VeggieTales",2018-03-02,139920,8,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-01T21:14:18Z,"children's music","Big Idea Entertainment Inc",0.632,0.422,6,-9.779,1,0.335,0.623,0,0.0761,0.53,79.13,4
