Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:75AqLA0UtGwnQzcHSl3U77,"Ashamed","War Elephant","Deer Tick",2007-09-04,132973,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.643,0.526,0,-5.576,1,0.0274,0.524,0.00000856,0.115,0.222,119.998,4
spotify:track:4gi5wZ5f2j57P5LKxD6jkx,"Art Isn't Real (City Of Sin)","War Elephant","Deer Tick",2007-09-04,168253,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.67,0.752,1,-3.505,0,0.0397,0.617,0,0.0929,0.584,106.44,4
spotify:track:4hdsDQyv1tQLpbzSvyApcp,"Standing At The Threshold","War Elephant","Deer Tick",2007-09-04,146346,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.474,0.589,9,-3.741,0,0.0299,0.00467,0,0.102,0.648,60.023,4
spotify:track:7fTgqRrWDvmGUUPzsR2ClQ,"Dirty Dishes","War Elephant","Deer Tick",2007-09-04,197693,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.685,0.534,5,-5.195,1,0.0277,0.402,0,0.0612,0.931,105.954,4
spotify:track:2cheQyPhJ3sqNssAhZiPtu,"Long Time","War Elephant","Deer Tick",2007-09-04,226213,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.646,0.735,7,-4.535,1,0.0294,0.43,0.00000975,0.127,0.355,120.033,4
spotify:track:0qDfDO4GZ5JqsJlbeYd6Hr,"Nevada","War Elephant","Deer Tick",2007-09-04,165720,30,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.616,0.406,4,-6.583,1,0.0264,0.169,0.0000365,0.0957,0.127,115.991,3
spotify:track:3CqRtRHwl5Nn0NNUju02TF,"Baltimore Blues No. 1","War Elephant","Deer Tick",2007-09-04,181466,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.746,0.546,5,-4.5,1,0.0321,0.441,0.00234,0.205,0.425,114.977,4
spotify:track:2NNxtLX4c8TNlKRvqNHF5S,"These Old Shoes","War Elephant","Deer Tick",2007-09-04,140720,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.634,0.752,7,-5.346,1,0.0404,0.237,0,0.103,0.611,113.303,4
spotify:track:1i05WIVgGhKbYVMuboQjHE,"Not So Dense","War Elephant","Deer Tick",2007-09-04,262146,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.592,0.642,5,-4.774,1,0.029,0.0142,0.0000153,0.0953,0.0821,115.973,4
spotify:track:0jnDzGEZm3cSPQlegpfe0s,"Spend The Night","War Elephant","Deer Tick",2007-09-04,147840,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.421,0.802,4,-3.613,1,0.0335,0.481,0.116,0.131,0.753,155.148,4
spotify:track:4bEFW2RllwHugrC6YBROEd,"Diamond Rings 2007","War Elephant","Deer Tick",2007-09-04,280306,31,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.62,0.598,6,-4.753,1,0.0275,0.373,0.000047,0.159,0.715,78.726,4
spotify:track:5Za68RIaNZJ2TwgMtXRsJg,"Sink Or Swim","War Elephant","Deer Tick",2007-09-04,293133,21,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.541,0.442,7,-5.753,1,0.032,0.00204,0.000941,0.145,0.24,120.02,3
spotify:track:3jamTOJq3KVUbWORyuJwxf,"Christ Jesus","War Elephant","Deer Tick",2007-09-04,318173,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.351,0.26,9,-6.387,1,0.0371,0.00463,0.00000432,0.111,0.0795,75.307,4
spotify:track:0F8Y1THw8rzoQsbsCKlxwL,"What Kind Of Fool Am I","War Elephant","Deer Tick",2007-09-04,211426,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T16:37:30Z,"alt country,americana","Partisan Records",0.233,0.457,11,-6.796,0,0.0331,0.09,0.00000533,0.223,0.164,79.021,4
