Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5JBxxujqARm8ggjrXPCKbD,"Western Swing & Waltzes","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,193813,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.594,0.485,9,-11.243,1,0.0361,0.353,0.00111,0.215,0.838,111.448,4
spotify:track:42jflmqWgLJtQTWszgs3hu,"I Ride an Old Paint / Leavin' Cheyenne","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,190000,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.524,0.269,7,-13.004,1,0.0302,0.894,0.0000612,0.597,0.42,130.761,3
spotify:track:2yBzeWs9bf32ad0z4r4rJc,"Big Iron","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,264866,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.694,0.566,0,-10.608,1,0.0329,0.393,0.00002,0.103,0.723,113.158,3
spotify:track:3ypEmMniueJN8nYNmfMtce,"Henry and Sam","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,162360,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.733,0.335,7,-12.762,1,0.0348,0.34,0.000915,0.127,0.567,124.065,4
spotify:track:4TCxaolTAq0VSSOMjtjQGn,"Diamond Joe","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,192506,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.468,0.253,4,-13.58,0,0.0322,0.918,0.000143,0.113,0.4,102.542,4
spotify:track:12O9QRymq3AHmc4tgEfHRw,"High and Mighty","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,161906,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.65,0.48,9,-12.403,1,0.0502,0.411,0.0000358,0.133,0.719,99.527,4
spotify:track:1ph2I8tWtn4TN1LvGBvhGW,"Talkin' Prairie Boy","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,230573,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.532,0.29,7,-14.718,1,0.0393,0.932,0.0526,0.153,0.677,109.961,4
spotify:track:0QJKUh0ga2ubfuVs8DM7bq,"Cowpoke","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,192626,72,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.478,0.366,0,-12.045,1,0.0376,0.4,0.0066,0.0984,0.291,121.683,3
spotify:track:1gD8Qmxyf11D6uhNBCzBHZ,"Rocky Mountain Rangers","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,128345,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.651,0.494,7,-12.537,1,0.0473,0.691,0.00138,0.117,0.97,122.142,4
spotify:track:0v0ZAAQRYDA9Ym7qWPCjED,"Houlihans at the Holiday Inn","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,297186,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:44Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.599,0.178,7,-14.483,1,0.0298,0.939,0.0241,0.117,0.286,100.806,4
