Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0JVQDa8fsmRpwQNG38Eegn,"Feelin' Low (F*ckboy Blues)","You and Your Friends","Peach Pit",2020-04-03,177573,39,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.439,0.916,7,-5.496,1,0.0898,0.0148,0.0000453,0.0693,0.285,155.098,4
spotify:track:2wH52gGTG6rBVWSc6aEczN,"Black Licorice","You and Your Friends","Peach Pit",2020-04-03,219826,53,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.693,0.54,9,-9.133,1,0.0333,0.0309,0.00078,0.116,0.434,124.032,4
spotify:track:5HTap7v6OqB7jPT5J2Z4um,"Figure 8","You and Your Friends","Peach Pit",2020-04-03,208653,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.508,0.624,8,-9.395,1,0.0403,0.000256,0.0000033,0.146,0.415,80.099,4
spotify:track:5ck1miitoRTdHXS9dvQ6qh,"Puppy Grin","You and Your Friends","Peach Pit",2020-04-03,171080,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.549,0.822,2,-7.447,0,0.0362,0.00000841,0.0857,0.0944,0.52,144.952,4
spotify:track:2B8A2Ww4nBypZqhRZVqJPV,"Brian's Movie","You and Your Friends","Peach Pit",2020-04-03,233933,49,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.752,0.49,7,-8.317,1,0.0326,0.0173,0,0.0555,0.45,108.037,4
spotify:track:0PJzTBjOlnuujzQk3st15T,"Camilla, I'm at Home","You and Your Friends","Peach Pit",2020-04-03,257560,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.553,0.638,9,-8.04,1,0.036,0.179,0.000534,0.137,0.479,155.037,4
spotify:track:6TwI8Blk7g7RRzhNtB1zH5,"Second Life with Emily","You and Your Friends","Peach Pit",2020-04-03,219853,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.465,0.718,8,-7.259,1,0.0643,0.0953,0.0000769,0.333,0.515,152.13,4
spotify:track:2muShsusjxQTjqB8P6J7KZ,"Live at the Swamp","You and Your Friends","Peach Pit",2020-04-03,194266,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.448,0.869,6,-5.627,1,0.039,0.000105,0.0226,0.125,0.676,175.91,4
spotify:track:2INUkDPCO1eQlOFmIN5VAC,"Shampoo Bottles","You and Your Friends","Peach Pit",2020-04-03,224266,62,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.648,0.436,8,-9.578,1,0.0275,0.0232,0,0.0944,0.333,107.019,4
spotify:track:5ouGWMPxx4Lv8vUWpfGcZT,"Thursday","You and Your Friends","Peach Pit",2020-04-03,183933,38,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.531,0.564,10,-10.401,1,0.0544,0.0257,0.00874,0.182,0.355,121.977,4
spotify:track:3DVrHr0PtLCH88VO6yUNZx,"Your Teeth","You and Your Friends","Peach Pit",2020-04-03,185946,36,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.576,0.434,7,-12.054,1,0.0395,0.261,0.0124,0.127,0.108,120.041,4
spotify:track:1p65J6pUtctKgmftkWkMRI,"You and Your Friends","You and Your Friends","Peach Pit",2020-04-03,236653,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T21:48:43Z,"","Columbia",0.552,0.672,9,-7.631,0,0.0281,0.000173,0.00432,0.0696,0.231,104.054,4
spotify:track:5tsB5ROYUKKisUaJQIEEfv,"Psychics in LA","You and Your Friends (Deluxe)","Peach Pit",2020-10-02,206733,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T16:23:31Z,"","Columbia",0.328,0.849,1,-5.02,0,0.052,0.0096,0.0000133,0.232,0.624,132.047,3
spotify:track:6mPcRFTRglL8DWlEqqPhoj,"Adidas","You and Your Friends (Deluxe)","Peach Pit",2020-10-02,255746,38,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T16:23:32Z,"","Columbia",0.62,0.419,0,-8.43,1,0.034,0.0324,0.000273,0.099,0.398,143.942,4
spotify:track:4oD8WLd2vnV8ioZ7TdZz9J,"Denny's Garage","You and Your Friends (Deluxe)","Peach Pit",2020-10-02,215733,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T16:23:34Z,"","Columbia",0.552,0.835,7,-6.897,1,0.0395,0.00141,0.0295,0.0465,0.579,156.016,4
